province,year
北京,2011
北京,2012
北京,2013
北京,2014
北京,2015
北京,2016
北京,2017
北京,2018
北京,2019
北京,2020
北京,2021
北京,2022
北京,2023
天津,2011
天津,2012
天津,2013
天津,2014
天津,2015
天津,2016
天津,2017
天津,2018
天津,2019
天津,2020
天津,2021
天津,2022
天津,2023
河北,2011
河北,2012
河北,2013
河北,2014
河北,2015
河北,2016
河北,2017
河北,2018
河北,2019
河北,2020
河北,2021
河北,2022
河北,2023
山西,2011
山西,2012
山西,2013
山西,2014
山西,2015
山西,2016
山西,2017
山西,2018
山西,2019
山西,2020
山西,2021
山西,2022
山西,2023
内蒙古,2011
内蒙古,2012
内蒙古,2013
内蒙古,2014
内蒙古,2015
内蒙古,2016
内蒙古,2017
内蒙古,2018
内蒙古,2019
内蒙古,2020
内蒙古,2021
内蒙古,2022
内蒙古,2023
辽宁,2011
辽宁,2012
辽宁,2013
辽宁,2014
辽宁,2015
辽宁,2016
辽宁,2017
辽宁,2018
辽宁,2019
辽宁,2020
辽宁,2021
辽宁,2022
辽宁,2023
吉林,2011
吉林,2012
吉林,2013
吉林,2014
吉林,2015
吉林,2016
吉林,2017
吉林,2018
吉林,2019
吉林,2020
吉林,2021
吉林,2022
吉林,2023
黑龙江,2011
黑龙江,2012
黑龙江,2013
黑龙江,2014
黑龙江,2015
黑龙江,2016
黑龙江,2017
黑龙江,2018
黑龙江,2019
黑龙江,2020
黑龙江,2021
黑龙江,2022
黑龙江,2023
上海,2011
上海,2012
上海,2013
上海,2014
上海,2015
上海,2016
上海,2017
上海,2018
上海,2019
上海,2020
上海,2021
上海,2022
上海,2023
江苏,2011
江苏,2012
江苏,2013
江苏,2014
江苏,2015
江苏,2016
江苏,2017
江苏,2018
江苏,2019
江苏,2020
江苏,2021
江苏,2022
江苏,2023
浙江,2011
浙江,2012
浙江,2013
浙江,2014
浙江,2015
浙江,2016
浙江,2017
浙江,2018
浙江,2019
浙江,2020
浙江,2021
浙江,2022
浙江,2023
安徽,2011
安徽,2012
安徽,2013
安徽,2014
安徽,2015
安徽,2016
安徽,2017
安徽,2018
安徽,2019
安徽,2020
安徽,2021
安徽,2022
安徽,2023
福建,2011
福建,2012
福建,2013
福建,2014
福建,2015
福建,2016
福建,2017
福建,2018
福建,2019
福建,2020
福建,2021
福建,2022
福建,2023
江西,2011
江西,2012
江西,2013
江西,2014
江西,2015
江西,2016
江西,2017
江西,2018
江西,2019
江西,2020
江西,2021
江西,2022
江西,2023
山东,2011
山东,2012
山东,2013
山东,2014
山东,2015
山东,2016
山东,2017
山东,2018
山东,2019
山东,2020
山东,2021
山东,2022
山东,2023
河南,2011
河南,2012
河南,2013
河南,2014
河南,2015
河南,2016
河南,2017
河南,2018
河南,2019
河南,2020
河南,2021
河南,2022
河南,2023
湖北,2011
湖北,2012
湖北,2013
湖北,2014
湖北,2015
湖北,2016
湖北,2017
湖北,2018
湖北,2019
湖北,2020
湖北,2021
湖北,2022
湖北,2023
湖南,2011
湖南,2012
湖南,2013
湖南,2014
湖南,2015
湖南,2016
湖南,2017
湖南,2018
湖南,2019
湖南,2020
湖南,2021
湖南,2022
湖南,2023
广东,2011
广东,2012
广东,2013
广东,2014
广东,2015
广东,2016
广东,2017
广东,2018
广东,2019
广东,2020
广东,2021
广东,2022
广东,2023
广西,2011
广西,2012
广西,2013
广西,2014
广西,2015
广西,2016
广西,2017
广西,2018
广西,2019
广西,2020
广西,2021
广西,2022
广西,2023
海南,2011
海南,2012
海南,2013
海南,2014
海南,2015
海南,2016
海南,2017
海南,2018
海南,2019
海南,2020
海南,2021
海南,2022
海南,2023
重庆,2011
重庆,2012
重庆,2013
重庆,2014
重庆,2015
重庆,2016
重庆,2017
重庆,2018
重庆,2019
重庆,2020
重庆,2021
重庆,2022
重庆,2023
四川,2011
四川,2012
四川,2013
四川,2014
四川,2015
四川,2016
四川,2017
四川,2018
四川,2019
四川,2020
四川,2021
四川,2022
四川,2023
贵州,2011
贵州,2012
贵州,2013
贵州,2014
贵州,2015
贵州,2016
贵州,2017
贵州,2018
贵州,2019
贵州,2020
贵州,2021
贵州,2022
贵州,2023
云南,2011
云南,2012
云南,2013
云南,2014
云南,2015
云南,2016
云南,2017
云南,2018
云南,2019
云南,2020
云南,2021
云南,2022
云南,2023
西藏,2011
西藏,2012
西藏,2013
西藏,2014
西藏,2015
西藏,2016
西藏,2017
西藏,2018
西藏,2019
西藏,2020
西藏,2021
西藏,2022
西藏,2023
陕西,2011
陕西,2012
陕西,2013
陕西,2014
陕西,2015
陕西,2016
陕西,2017
陕西,2018
陕西,2019
陕西,2020
陕西,2021
陕西,2022
陕西,2023
甘肃,2011
甘肃,2012
甘肃,2013
甘肃,2014
甘肃,2015
甘肃,2016
甘肃,2017
甘肃,2018
甘肃,2019
甘肃,2020
甘肃,2021
甘肃,2022
甘肃,2023
青海,2011
青海,2012
青海,2013
青海,2014
青海,2015
青海,2016
青海,2017
青海,2018
青海,2019
青海,2020
青海,2021
青海,2022
青海,2023
宁夏,2011
宁夏,2012
宁夏,2013
宁夏,2014
宁夏,2015
宁夏,2016
宁夏,2017
宁夏,2018
宁夏,2019
宁夏,2020
宁夏,2021
宁夏,2022
宁夏,2023
新疆,2011
新疆,2012
新疆,2013
新疆,2014
新疆,2015
新疆,2016
新疆,2017
新疆,2018
新疆,2019
新疆,2020
新疆,2021
新疆,2022
新疆,2023
